timestamp,product_id,endpoint_url,server_namespace_uri,application_name,message_type,action,node_id,session_id,channel_id,request_id,client_ip,client_application_name,user_identity,auth_type,certificate_thumbprint,security_policy_uri,security_mode,status_code,response_time_ms,bytes_in,bytes_out,audit_event_type,severity,src_asset_id,dst_asset_id,src_ip,dst_ip
2025-09-15T08:00:07,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,Write,ns=4;s=LineA/Conveyor/Stop,sess-91467,ch-306,10001,10.22.4.65,FactoryTalk-Linx,anon,Certificate,7C:11:3F:DE:86:22:40:AF:97:6B:AA:01:3D:88:CA:51,http://opcfoundation.org/UA/SecurityPolicy#Aes128_Sha256_RsaOaep,SignAndEncrypt,Good,52,362,708,AuditWrite,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:00:21,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,Write,ns=3;s=PLC1/Tag1,sess-82334,ch-300,10002,10.22.4.65,MES-Agent,operatorA,Certificate,7C:11:3F:DE:86:22:40:AF:97:6B:AA:01:3D:88:CA:51,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,None,Good,80,279,720,AuditWrite,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:03:43,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,CreateMonitoredItems,ns=4;s=LineA/Conveyor/Stop,sess-45914,ch-318,10003,10.22.4.65,FactoryTalk-Linx,operatorB,Certificate,9F:2A:11:77:8B:0D:AA:29:55:DC:E1:73:6E:41:3B:9A,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,None,Good,71,571,507,AuditMonitoredItemsCreate,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:03:54,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,ActivateSession,,sess-56023,ch-315,10004,10.22.4.65,CustomCollector,operatorB,UserName,,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,SignAndEncrypt,Good,27,321,547,Session/Activate,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:04:36,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,CreateSession,,sess-41075,ch-313,10005,10.22.4.65,CustomCollector,anon,UserName,,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,None,Good,57,378,655,Session/UserLogin,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:04:39,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,Browse,ns=2;s=Machine/Speed,sess-91124,ch-310,10006,10.22.4.65,MES-Agent,operatorA,Anonymous,,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,SignAndEncrypt,BadNotWritable,69,423,711,AuditBrowse,3,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:04:54,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,CreateSession,,sess-13471,ch-300,10007,10.22.4.65,CustomCollector,operatorA,UserName,,http://opcfoundation.org/UA/SecurityPolicy#Aes128_Sha256_RsaOaep,SignAndEncrypt,Good,54,463,618,Session/UserLogin,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:07:01,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,CloseSession,,sess-35864,ch-309,10008,10.22.4.65,CustomCollector,operatorB,UserName,,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,SignAndEncrypt,Good,38,294,653,Session/Close,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:09:32,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,Read,ns=2;s=Machine/Temperature,sess-35795,ch-311,10009,10.22.4.65,FactoryTalk-Linx,operatorA,UserName,,http://opcfoundation.org/UA/SecurityPolicy#Basic256Sha256,None,Good,30,506,598,AuditRead,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
2025-09-15T08:11:32,D_DMZ_10,opc.tcp://10.70.0.15:4840,urn:auto:opcua:server,OPCServerSynth,MSG,Write,ns=2;s=Machine/Temperature,sess-89895,ch-309,10010,10.22.4.65,CustomCollector,operatorA,Certificate,7C:11:3F:DE:86:22:40:AF:97:6B:AA:01:3D:88:CA:51,http://opcfoundation.org/UA/SecurityPolicy#Aes128_Sha256_RsaOaep,SignAndEncrypt,Good,62,409,675,AuditWrite,1,D_DMZ_10,C3_L3_07,10.22.4.65,10.70.0.15
